,Country,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,Afghanistan,1.0971974092044354,1.0534379724157066,1.1801609442391783,1.0826372189838511,1.0096896251950194,0.7933287083600506,0.9640505850906708
0,Albania,0.6444908182077733,1.0779445440540918,1.1391624151827544,1.054011858283673,1.1603534161351603,0.9930504144843206,1.0547594250170573
0,Algeria,0.9706525394821939,1.0348936326637228,1.0429224694599954,1.069757981314322,1.0989174693243253,0.9432739717121005,0.962903693507895
0,Andorra,1.486217946772815,0.8858171477991328,1.5401919288031805,1.152312863302268,1.2051625796743943,0.3205122006741345,0.32247856573363287
0,Angola,0.7467903349544417,1.2162980730700523,1.0478870099751716,1.119207634104984,1.1257778510873047,1.0280999630289402,0.8141320586366312
0,Antarctica,0.0,7.0,0.0,0.0,0.0,0.0,0.0
0,AntiguaandBarbuda,0.8258259813262149,0.5039074833756128,1.3559562891105694,1.262315750346753,1.2524610737223412,0.9378979956277802,0.48619470210423915
0,Argentina,0.8826450485229141,1.1503710106574079,1.063498114457042,1.0863366060078625,1.0965741537853975,0.7923376587164999,1.0326441788415353
0,Armenia,0.8340116538905659,0.8845244760049382,1.1112253744162965,1.1734997102158384,1.084797978969721,1.1006588260102423,0.90642391723151
0,Australia,0.9622258016208646,1.0906940995068863,1.0769822709882213,1.0727833670112987,1.052856884840782,1.090178840858759,0.9777250098709575
0,Austria,0.9759224863634648,0.7865120311228295,0.9681330110740591,1.2013603808593383,1.1886981721335974,1.0434654384477422,1.1103863725148893
0,Azerbaijan,0.6587275683546691,1.0893283513527057,1.0215237462830173,1.0227052955425155,1.1959813584277759,0.9966158253910671,1.042678030380911
0,Bahamas,1.5050043781087517,1.0255050246855655,1.0517750741400478,1.0158289647745646,1.0742962630678357,0.6750175855336332,0.5452021200665138
0,Bahrain,1.0060267751552625,1.0426017895766788,1.0716702671192597,1.0465205793856587,1.0163906874369946,0.9873331492553737,1.0146019988305872
0,Bangladesh,1.1295644011633068,1.1026217420789926,1.113442506663527,1.0972569715633342,1.0470882890161595,0.8351546747213966,1.0315914758793976
0,Barbados,0.8051549463686253,0.9519732124613791,1.0603055337097091,1.0510770119239583,0.9994295792117543,1.030999491339867,1.1171832310965122
0,Belarus,0.9118485179127161,0.770197400698373,1.048336855972337,1.108281656475812,1.21029814508551,1.0430290285871906,0.9771074968448186
0,Belgium,1.394075442692782,0.8492194809071877,1.16187831484305,1.4602885283774876,1.0886309286712377,0.6815528231951106,0.6278353607324286
0,Belize,1.4968274055428796,1.2605795391474148,1.3343613175920375,1.114197372642697,1.249594043233354,0.2983977269384661,0.2671952782855659
0,Benin,0.6086459666174269,0.8331366229670855,3.3433483268976354,0.8616749681857202,0.5576660026532222,0.14662418860937343,0.35433217270406786
0,Bhutan,1.1481952854383188,1.0324165447605895,0.8564408284262075,0.8577581967442262,1.110590336356837,1.17794328460777,1.0031079980139181
0,Bolivia,0.8069594551761229,1.0271840847649578,1.2105533787501197,1.1314595301159147,1.139404176226444,1.0211154637799849,0.7853964182124037
0,BosniaandHerzegovina,1.6491999757454538,1.1283218713616583,1.228867888901637,1.2671324086098423,1.111359811465021,0.38925063453020015,0.285699835454407
0,Botswana,2.6439099415884195,0.6879933204670435,0.2790914111788435,2.552346712084106,0.3308319600451666,0.03888888888888889,0.21378605495077757
0,Brazil,0.7045603969004682,1.1980745775133892,1.2837552646485544,1.277977721534144,1.3031025394995719,0.9559438787020503,0.5988670010227001
0,Brunei,1.0229460201952805,1.2335493995083302,1.2280392295370774,0.9912605554497791,0.8973449645024429,0.87438551026642,0.8192777186071454
0,Bulgaria,1.1510868299552945,1.3264840247418532,1.220428339424397,1.1242773401964994,1.1892324409708295,0.7084683862000789,0.4004471839725275
0,BurkinaFaso,0.9300906894385699,1.1020231442081907,0.9315103867421798,0.9729918601982944,0.9469415429433481,1.0421987953982768,0.9081443838206688
0,Burma,0.9619542643440723,0.9704468858997077,1.0847164317522846,1.1088819582965144,1.072091451122337,1.0656032896271992,0.8095893310478641
0,Burundi,1.6729737124852018,0.7212036827779643,1.0615604865667425,1.022971370198946,0.958518566161452,0.8096799546227383,0.5813169580767253
0,CaboVerde,0.6631825451457911,0.8635200186839865,1.381041876439733,1.1311714966812012,1.2345774416303734,1.0099223168500011,0.8957002843357267
0,Cambodia,0.9925462825581027,0.9568370299619848,0.8863271176073931,0.9694550413251943,0.9900202923666264,1.3752950137886457,0.9419077480010777
0,Cameroon,0.8284900114603736,1.057628204283261,1.308349254473764,1.3440780595290205,0.9260617136974933,0.5907808679341833,0.4066549360863427
0,Canada,1.225555770302427,1.0752894783149212,1.1698561962080336,1.117017485918233,1.2020710078419172,0.7986885006418107,0.6857224992202295
0,CentralAfricanRepublic,1.209050449859785,1.41218617902166,0.9490185501072924,1.030445748118365,1.069163388061537,0.4203449095344334,0.30245494065843487
0,Chad,1.937679571222732,0.8812082907839138,0.7195690572894086,0.9350720908423448,0.9776104321209296,0.7057696603085435,0.7261899242438553
0,Chile,0.9562828329558475,0.772214024975989,0.9092069481689601,1.1371966152918809,1.2156774083663702,1.1699136259671976,1.081629787259616
0,China,1.0363650859296236,0.9929498641332547,1.0089703560812038,1.011934016228014,1.0427831494708288,1.018371910193536,1.080421864260776
0,Colombia,0.8564844857854663,0.8764286674090482,0.9608705368221016,1.4566501489992896,1.0282645278449114,1.0154285805484415,0.9583110709659212
0,Comoros,0.6442837642922093,1.2361272871912685,0.7772933600706367,1.409811535779754,0.861396535912066,1.0253737619801477,0.7094312802674658
