,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
3614,New Zealand,2020-06-07 03:53:30,-40.9006,174.886,1504,22.0,1481.0,1.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-06
447,New Zealand,2021-06-07 04:22:51,-40.9006,174.886,2682,26.0,2639.0,17.0,New Zealand,55.6173872145954,0.9694258016405668,2021-06-06
467,New Zealand,2022-06-07 04:21:08,-40.9006,174.886,1206411,1194.0,,,New Zealand,25017.683716236854,0.0989712461176166,2022-06-06
3614,New Zealand,2020-06-08 03:33:22,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-07
447,New Zealand,2021-06-08 04:22:35,-40.9006,174.886,2692,26.0,2644.0,22.0,New Zealand,55.824760023001794,0.9658246656760772,2021-06-07
467,New Zealand,2022-06-08 04:20:55,-40.9006,174.886,1213546,1216.0,,,New Zealand,25165.64421503482,0.1002022173036704,2022-06-07
3615,New Zealand,2020-06-09 03:33:03,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-08
447,New Zealand,2021-06-09 04:23:31,-40.9006,174.886,2696,26.0,2646.0,24.0,New Zealand,55.90770914636435,0.9643916913946587,2021-06-08
467,New Zealand,2022-06-09 04:20:54,-40.9006,174.886,1221724,1240.0,,,New Zealand,25335.23369774957,0.1014959188818423,2022-06-08
3617,New Zealand,2020-06-10 04:07:00,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-09
447,New Zealand,2021-06-10 04:23:17,-40.9006,174.886,2697,26.0,2647.0,24.0,New Zealand,55.92844642720499,0.96403411197627,2021-06-09
467,New Zealand,2022-06-10 04:20:55,-40.9006,174.886,1228187,1247.0,,,New Zealand,25469.258743822626,0.1015317699991939,2022-06-09
3661,New Zealand,2020-06-11 03:33:41,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-10
447,New Zealand,2021-06-11 04:23:20,-40.9006,174.886,2702,26.0,2647.0,29.0,New Zealand,56.03213283140819,0.9622501850481124,2021-06-10
467,New Zealand,2022-06-11 04:21:01,-40.9006,174.886,1233450,1254.0,,,New Zealand,25578.39905288691,0.1016660586160768,2022-06-10
3668,New Zealand,2020-06-12 05:09:52,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-11
447,New Zealand,2021-06-12 04:22:22,-40.9006,174.886,2702,26.0,2647.0,29.0,New Zealand,56.03213283140819,0.9622501850481124,2021-06-11
467,New Zealand,2022-06-12 04:20:53,-40.9006,174.886,1237979,1261.0,,,New Zealand,25672.31819781417,0.1018595630458998,2022-06-11
3683,New Zealand,2020-06-13 03:33:14,-40.9006,174.886,1504,22.0,1482.0,0.0,New Zealand,31.18887038432195,1.4627659574468086,2020-06-12
447,New Zealand,2021-06-13 04:22:44,-40.9006,174.886,2708,26.0,2655.0,27.0,New Zealand,56.15655651645203,0.9601181683899556,2021-06-12
