,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
36,New York,US,2021-08-07 04:31:08,42.1657,-74.9481,2168589,53694,,,36.0,11147.516899348146,61760779.0,,2.475987842786254,84000036.0,USA,317478.0134084449,,2021-08-06,,
36,New York,US,2020-08-08 04:35:11,42.1657,-74.9481,419642,32593,73530.0,313519.0,36.0,2157.147475467345,,89995.0,,84000036.0,USA,32739.37866697002,21.44566082517956,2020-08-07,6368975.0,7.766858417412938
36,New York,US,2021-08-08 04:31:21,42.1657,-74.9481,2173080,53729,,,36.0,11170.602646990954,61894981.0,,2.472481454893515,84000036.0,USA,318167.87168169365,,2021-08-07,,
36,New York,US,2020-08-09 04:35:07,42.1657,-74.9481,420345,32601,73609.0,314135.0,36.0,2160.7612097343,,89995.0,,84000036.0,USA,33124.17711081277,21.40979433560528,2020-08-08,6443832.0,7.755772044392106
36,New York,US,2021-08-09 04:30:46,42.1657,-74.9481,2176658,53744,,,36.0,11188.995166489056,62040794.0,,2.4691063088459466,84000036.0,USA,318917.4156854881,,2021-08-08,,
36,New York,US,2020-08-10 04:35:08,42.1657,-74.9481,420860,32607,73689.0,314564.0,36.0,2163.408539958314,,89995.0,,84000036.0,USA,33462.48021120657,21.38359549493893,2020-08-09,6509644.0,7.747707075987265
36,New York,US,2021-08-10 04:30:48,42.1657,-74.9481,2178724,53750,,,36.0,11199.615330067334,62154059.0,,2.4670403410436568,84000036.0,USA,319499.6484191249,,2021-08-09,,
36,New York,US,2020-08-11 04:35:27,42.1657,-74.9481,421336,32614,73736.0,314986.0,36.0,2165.8553927478883,,89995.0,,84000036.0,USA,33740.07463209435,21.35943759849621,2020-08-10,6563646.0,7.7406155657242675
36,New York,US,2021-08-11 04:31:15,42.1657,-74.9481,2180696,53760,,,36.0,11209.75229162414,62263024.0,,2.465267969492309,84000036.0,USA,320059.77723050286,,2021-08-10,,
36,New York,US,2020-08-12 04:30:24,42.1657,-74.9481,422003,32620,73779.0,315604.0,36.0,2169.2840709215143,,89995.0,,84000036.0,USA,34136.1923403124,21.32567777954185,2020-08-11,6640705.0,7.729802868699985
36,New York,US,2021-08-12 04:31:01,42.1657,-74.9481,2187349,53799,,,36.0,11243.951685760772,62354044.0,,2.4595526365477114,84000036.0,USA,320527.6607198034,,2021-08-11,,
36,New York,US,2020-08-13 04:30:24,42.1657,-74.9481,422703,32630,73842.0,316231.0,36.0,2172.882383847358,,89995.0,,84000036.0,USA,34587.400219425115,21.29036226381171,2020-08-12,6728481.0,7.719367972311528
36,New York,US,2021-08-13 04:31:21,42.1657,-74.9481,2192224,53830,,,36.0,11269.01136506576,62499355.0,,2.455497248456362,84000036.0,USA,321274.6242191854,,2021-08-12,,
36,New York,US,2020-08-14 04:30:24,42.1657,-74.9481,423440,32638,73907.0,316895.0,36.0,2176.6708933135687,,89995.0,,84000036.0,USA,35039.245513970425,21.25330625354241,2020-08-13,6816381.0,7.7078216512374835
36,New York,US,2021-08-14 04:31:06,42.1657,-74.9481,2196866,53842,,,36.0,11292.873320211143,62653280.0,,2.4508549907003885,84000036.0,USA,322065.8675293433,,2021-08-13,,
36,New York,US,2020-08-15 04:30:23,42.1657,-74.9481,424167,32660,73997.0,317510.0,36.0,2180.40799830941,,89995.0,,84000036.0,USA,35478.522415510466,21.216879200880783,2020-08-14,6901836.0,7.699797485424373
36,New York,US,2021-08-15 04:31:24,42.1657,-74.9481,2201468,53857,,,36.0,11316.52965747505,62800998.0,,2.4464130298509903,84000036.0,USA,322825.2040847432,,2021-08-14,,
36,New York,US,2020-08-16 04:30:18,42.1657,-74.9481,424901,32666,74081.0,318154.0,36.0,2184.1810864345093,,89995.0,,84000036.0,USA,35934.31557338011,21.18022786484381,2020-08-15,6990504.0,7.6879084775041715
36,New York,US,2021-08-16 04:31:19,42.1657,-74.9481,2205869,53880,,,36.0,11339.152764884537,62953639.0,,2.4425747857193696,84000036.0,USA,323609.8470609057,,2021-08-15,,
36,New York,US,2020-08-17 04:30:23,42.1657,-74.9481,425508,32673,74154.0,318681.0,36.0,2187.30133778592,,89995.0,,84000036.0,USA,36333.68718457253,21.15001363076605,2020-08-16,7068196.0,7.678586536563355
36,New York,US,2021-08-17 04:30:48,42.1657,-74.9481,2209767,53889,,,36.0,11359.190227434452,63108205.0,,2.438673398598133,84000036.0,USA,324404.3853976144,,2021-08-16,,
36,New York,US,2020-08-18 04:30:23,42.1657,-74.9481,425916,32679,74207.0,319030.0,36.0,2189.3986401769835,,89995.0,,84000036.0,USA,36626.13235694997,21.129753284685247,2020-08-17,7125087.0,7.672639675428957
36,New York,US,2021-08-18 04:31:10,42.1657,-74.9481,2213176,53926,,,36.0,11376.714011383314,63207210.0,,2.436588865955532,84000036.0,USA,324913.31535650464,,2021-08-17,,
36,New York,US,2020-08-19 04:30:00,42.1657,-74.9481,426571,32690,74258.0,319623.0,36.0,2192.7656329861666,,89995.0,,84000036.0,USA,36969.982,21.09730854,2020-08-18,7191978.0,7.663437036272977
36,New York,US,2021-08-19 04:31:11,42.1657,-74.9481,2217969,53940,,,36.0,11401.352174031274,63297781.0,,2.431954639582429,84000036.0,USA,325378.8907850856,,2021-08-18,,
36,New York,US,2020-08-20 04:30:22,42.1657,-74.9481,427202,32698,74328.0,320176.0,36.0,2196.009255066463,,89995.0,,84000036.0,USA,37383.40245264093,21.066146694069783,2020-08-19,7272403.0,7.65399038394015
36,New York,US,2021-08-20 04:31:00,42.1657,-74.9481,2223052,53959,,,36.0,11427.48106631994,63453909.0,,2.4272486653483587,84000036.0,USA,326181.4585000659,,2021-08-19,,
36,New York,US,2020-08-21 04:30:30,42.1657,-74.9481,427803,32695,74406.0,320702.0,36.0,2199.0986637356523,,89995.0,,84000036.0,USA,37799.696415478895,21.036551870837744,2020-08-20,7353387.0,7.642536401100506
