,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
592,South Africa,2021-01-20 05:21:54,-30.5595,22.9375,1356716,38288.0,1144857.0,173571.0,South Africa,2287.5501043776217,2.822108680077481,2021-01-19
614,South Africa,2022-01-20 04:21:07,-30.5595,22.9375,3564578,93571.0,,,South Africa,6010.211994228839,2.625023214529181,2022-01-19
592,South Africa,2021-01-21 05:22:01,-30.5595,22.9375,1369426,38854.0,1160412.0,170160.0,South Africa,2308.980353469281,2.8372471385821503,2021-01-20
614,South Africa,2022-01-21 04:21:09,-30.5595,22.9375,3572860,93846.0,,,South Africa,6024.176221056307,2.6266352445939667,2022-01-20
593,South Africa,2021-01-22 05:22:10,-30.5595,22.9375,1380807,39501.0,1183443.0,157863.0,South Africa,2328.1697842255494,2.860718405975636,2021-01-21
614,South Africa,2022-01-22 04:21:13,-30.5595,22.9375,3576379,93949.0,,,South Africa,6030.109584278461,2.6269307587367,2022-01-21
593,South Africa,2021-01-23 05:22:03,-30.5595,22.9375,1392568,40076.0,1201284.0,151208.0,South Africa,2347.9999305329457,2.8778486939237435,2021-01-22
614,South Africa,2022-01-23 04:21:13,-30.5595,22.9375,3579428,94063.0,,,South Africa,6035.250483529479,2.627877973799165,2022-01-22
593,South Africa,2021-01-24 05:22:35,-30.5595,22.9375,1404839,40574.0,1217492.0,146773.0,South Africa,2368.689984553697,2.888160137923278,2021-01-23
614,South Africa,2022-01-24 04:21:12,-30.5595,22.9375,3581359,94177.0,,,South Africa,6038.506330185341,2.629644221648821,2022-01-23
593,South Africa,2021-01-25 05:22:16,-30.5595,22.9375,1412986,40874.0,1230520.0,141592.0,South Africa,2382.426588751159,2.89273920619171,2021-01-24
614,South Africa,2022-01-25 04:21:05,-30.5595,22.9375,3582691,94625.0,,,South Africa,6040.752206801398,2.6411711196974563,2022-01-24
593,South Africa,2021-01-26 05:22:02,-30.5595,22.9375,1417537,41117.0,1241421.0,134999.0,South Africa,2390.100000522689,2.9005944818371585,2021-01-25
614,South Africa,2022-01-26 04:21:07,-30.5595,22.9375,3585888,94397.0,,,South Africa,6046.142647898648,2.632458124737861,2022-01-25
593,South Africa,2021-01-27 05:23:41,-30.5595,22.9375,1423578,41797.0,1254674.0,127107.0,South Africa,2400.2856916920605,2.9360526785325427,2021-01-26
614,South Africa,2022-01-27 04:21:19,-30.5595,22.9375,3590399,94491.0,,,South Africa,6053.748615927952,2.631768781129897,2022-01-26
593,South Africa,2021-01-28 05:22:24,-30.5595,22.9375,1430648,42550.0,1263476.0,124622.0,South Africa,2412.206373130143,2.974176736695539,2021-01-27
614,South Africa,2022-01-28 04:21:09,-30.5595,22.9375,3594499,94651.0,,,South Africa,6060.661599505907,2.6332181480645844,2022-01-27
593,South Africa,2021-01-29 05:22:23,-30.5595,22.9375,1437798,43105.0,1272197.0,122496.0,South Africa,2424.261942052674,2.9979871998709138,2021-01-28
614,South Africa,2022-01-29 04:21:10,-30.5595,22.9375,3598288,94784.0,,,South Africa,6067.0502079880725,2.6341415695464065,2022-01-28
593,South Africa,2021-01-30 05:22:49,-30.5595,22.9375,1443939,43633.0,1284781.0,115525.0,South Africa,2434.6162425776056,3.021803552643152,2021-01-29
614,South Africa,2022-01-30 04:21:26,-30.5595,22.9375,3601630,94905.0,,,South Africa,6072.685132650881,2.635056904790331,2022-01-29
593,South Africa,2021-01-31 05:22:42,-30.5595,22.9375,1449236,43951.0,1292921.0,112364.0,South Africa,2443.547480141612,3.0327013681691595,2021-01-30
614,South Africa,2022-01-31 04:21:09,-30.5595,22.9375,3603856,95022.0,,,South Africa,6076.438376905645,2.636675827225061,2022-01-30
593,South Africa,2021-02-01 05:22:53,-30.5595,22.9375,1453761,44164.0,1299620.0,109977.0,South Africa,2451.177053480696,3.0379133846622657,2021-01-31
614,South Africa,2022-02-01 04:21:11,-30.5595,22.9375,3605222,95093.0,,,South Africa,6078.741580702592,2.6376461699168594,2022-01-31
593,South Africa,2021-02-02 05:22:49,-30.5595,22.9375,1456309,44399.0,1306022.0,105888.0,South Africa,2455.473219860361,3.04873484954086,2021-02-01
614,South Africa,2022-02-02 04:21:09,-30.5595,22.9375,3608307,95288.0,,,South Africa,6083.943179321614,2.6407952538406514,2022-02-01
593,South Africa,2021-02-03 05:22:52,-30.5595,22.9375,1458958,44946.0,1318504.0,95508.0,South Africa,2459.939681689142,3.080691836228322,2021-02-02
614,South Africa,2022-02-03 04:21:21,-30.5595,22.9375,3612809,95463.0,,,South Africa,6091.533972508919,2.6423483776751,2022-02-02
593,South Africa,2021-02-04 05:22:26,-30.5595,22.9375,1463016,45344.0,1323680.0,93992.0,South Africa,2466.7818493377613,3.0993509298599604,2021-02-03
614,South Africa,2022-02-04 04:21:10,-30.5595,22.9375,3616075,95545.0,,,South Africa,6097.040754061504,2.64222948915606,2022-02-03
593,South Africa,2021-02-05 05:22:38,-30.5595,22.9375,1466767,45605.0,1327186.0,93976.0,South Africa,2473.106386264812,3.1092191193284275,2021-02-04
614,South Africa,2022-02-05 04:21:05,-30.5595,22.9375,3616075,95545.0,,,South Africa,6097.040754061504,2.64222948915606,2022-02-04
593,South Africa,2021-02-06 05:23:55,-30.5595,22.9375,1470516,45902.0,1335618.0,88996.0,South Africa,2479.4275510047514,3.1214893275557696,2021-02-05
614,South Africa,2022-02-06 04:21:00,-30.5595,22.9375,3622210,95817.0,,,South Africa,6107.384938025102,2.645263526962821,2022-02-05
593,South Africa,2021-02-07 05:23:00,-30.5595,22.9375,1473700,46180.0,1340497.0,87023.0,South Africa,2484.796072885778,3.1336092827576847,2021-02-06
614,South Africa,2022-02-07 04:21:05,-30.5595,22.9375,3623962,95835.0,,,South Africa,6110.33897393451,2.6444813714934097,2022-02-06
593,South Africa,2021-02-08 05:22:39,-30.5595,22.9375,1476135,46290.0,1360204.0,69641.0,South Africa,2488.901710693661,3.1358920423944965,2021-02-07
614,South Africa,2022-02-08 04:21:15,-30.5595,22.9375,3625190,96021.0,,,South Africa,6112.409496820786,2.648716343143394,2022-02-07
593,South Africa,2021-02-09 05:23:30,-30.5595,22.9375,1477511,46473.0,1363947.0,67091.0,South Africa,2491.221775426164,3.1453572934482383,2021-02-08
614,South Africa,2022-02-09 04:21:04,-30.5595,22.9375,3626014,96289.0,,,South Africa,6113.798837910601,2.655505466884573,2022-02-08
593,South Africa,2021-02-10 05:22:41,-30.5595,22.9375,1479253,46869.0,1367247.0,65137.0,South Africa,2494.158950400017,3.1684235218721883,2021-02-09
615,South Africa,2022-02-10 04:21:14,-30.5595,22.9375,3631642,96502.0,,,South Africa,6123.288172441509,2.6572553131613743,2022-02-09
593,South Africa,2021-02-11 05:23:55,-30.5595,22.9375,1482412,47145.0,1374368.0,60899.0,South Africa,2499.4853199421536,3.1802899598762018,2021-02-10
615,South Africa,2022-02-11 04:21:09,-30.5595,22.9375,3634811,96705.0,,,South Africa,6128.631402919201,2.660523477011597,2022-02-10
