,truth_0,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,truth_7,truth_8,truth_9,truth_10,truth_11,truth_12,truth_13,truth_14,truth_15,truth_16,truth_17,truth_18,truth_19,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6,R_t
0,112,105,115,123,87,83,98,103,116,115,123,89,82,112,92,107,91,90,115,124,1.249431256222767,0.951697099411348,1.015575612003958,0.9067278900446613,0.7682415925517061,0.7460353852440216,1.336983931146067,0.9364240040360078
1,123,121,123,108,90,91,96,100,125,95,118,96,86,95,85,108,94,99,117,109,1.2108302611436212,0.9720630223722431,0.9694068235558839,0.9780885172287993,0.7225154658130221,0.6570793915476457,1.309769648112679,0.9571166315490053
2,111,130,116,113,112,92,102,103,106,125,116,94,89,89,82,105,88,96,138,121,1.1782528075755656,1.0584779213966602,0.9033943538936731,0.9972074983840684,0.6591019964419703,0.6490548593110389,1.6172815189345986,0.9562747199391649
3,126,121,122,139,106,108,92,108,118,129,103,111,102,82,87,92,98,91,124,119,1.0642100855364351,1.0982459427104208,0.8953737176945524,0.8808451516854239,0.7239830761626624,0.6317310892661997,1.6069758215911432,0.9715921090501127
