,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,truth_7,truth_8,truth_9,truth_10,truth_11,truth_12,truth_13,truth_14,truth_15,truth_16,truth_17,truth_18,truth_19,truth_20,truth_21,truth_22,truth_23,truth_24,truth_25,truth_26,truth_27,truth_28,truth_29,truth_30,truth_31,truth_32,truth_33,truth_34,truth_35,truth_36,truth_37,truth_38,truth_39,truth_40,truth_41,truth_42,truth_43,truth_44,truth_45,truth_46,truth_47,truth_48,truth_49,truth_50,truth_51,truth_52,truth_53,truth_54,truth_55,truth_56,truth_57,truth_58,truth_59,truth_60,truth_61,truth_62,truth_63,truth_64,truth_65,truth_66,truth_67,truth_68,truth_69,truth_70,truth_71,truth_72,truth_73,truth_74,truth_75,truth_76,truth_77,truth_78,truth_79,truth_80,truth_81,truth_82,truth_83,truth_84,truth_85,truth_86,truth_87,truth_88,truth_89,truth_90,truth_91,truth_92,truth_93,truth_94,truth_95,truth_96,truth_97,truth_98,truth_99,truth_100,truth_101,truth_102,truth_103,truth_104,truth_105,truth_106,truth_107,truth_108,truth_109,truth_110,truth_111,truth_112,truth_113,truth_114,truth_115,truth_116,truth_117,truth_118,truth_119,truth_120,truth_121,truth_122,truth_123,truth_124,truth_125,truth_126,truth_127,truth_128,truth_129,truth_130,truth_131,truth_132,truth_133,truth_134,truth_135,truth_136,truth_137,truth_138,truth_139,truth_140,truth_141,truth_142,truth_143,truth_144,truth_145,truth_146,truth_147,truth_148,truth_149,truth_150,truth_151,truth_152,truth_153,truth_154,truth_155,truth_156,truth_157,truth_158,truth_159,truth_160,truth_161,truth_162,truth_163,truth_164,truth_165,truth_166,truth_167,truth_168,truth_169,truth_170,truth_171,truth_172,truth_173,truth_174,truth_175,truth_176,truth_177,truth_178,truth_179,truth_180,truth_181,truth_182,truth_183,truth_184,truth_185,truth_186,truth_187,truth_188,truth_189,truth_190,truth_191,truth_192,truth_193,truth_194,truth_195,truth_196,truth_197,truth_198,truth_199,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6
39,65,61,71,50,68,55,45,54,68,76,61,60,61,64,57,57,63,68,80,70,76,63,60,62,60,59,68,54,70,52,78,55,71,75,54,57,60,69,65,81,65,73,70,61,51,64,75,62,51,70,63,62,58,64,57,71,73,68,65,64,65,58,65,77,79,71,62,62,72,73,54,63,59,64,70,61,54,70,59,52,64,73,67,73,74,57,54,59,69,61,56,71,60,60,60,66,57,79,72,55,53,68,60,67,60,60,72,53,74,64,70,59,66,65,59,81,77,68,53,57,54,58,62,49,59,56,75,55,59,59,60,73,54,75,57,56,59,41,69,61,60,71,68,59,65,63,63,63,86,56,60,56,56,69,62,65,69,65,60,64,65,66,64,78,65,54,48,57,70,63,62,76,70,67,66,70,78,82,73,70,53,70,69,63,61,59,60,71,66,75,65,50,57,66,65,58,51,55,77,1.4451756459421832e-219,2.1697094410468707e-157,3.265908794259568e-193,1.228987567742235e-196,5.704333750730099,1.0542708555670278e-15,0.0
40,53,55,66,57,48,62,67,43,50,59,57,70,59,57,69,51,62,50,60,64,62,59,49,65,65,67,68,60,62,68,67,71,67,52,72,70,63,58,62,64,73,65,62,57,56,76,57,51,61,83,51,61,45,70,55,76,59,69,62,63,57,74,64,54,55,51,48,73,66,58,54,62,50,61,66,66,74,55,66,55,66,63,62,62,63,57,62,78,57,79,50,66,74,74,78,66,66,68,55,69,67,59,74,58,62,60,58,62,60,55,58,58,65,67,51,58,66,65,71,62,65,69,76,58,61,70,63,64,72,63,57,64,56,84,48,51,52,60,62,62,63,60,52,61,70,67,62,58,57,62,56,58,70,68,56,50,57,67,62,67,64,71,37,52,66,67,68,51,65,58,64,78,76,57,66,56,54,59,64,72,63,56,53,54,63,64,82,70,59,64,71,59,62,53,70,53,52,51,73,2.1853467538280963e-216,2.173512940333422e-201,5.120061416515089e-247,1.3880551253997203e-222,7.3826417511848685,4.809999383049393e-14,0.0
41,76,67,52,55,69,47,68,52,56,61,71,66,56,68,61,64,61,53,64,54,69,65,52,76,70,46,65,50,60,79,55,58,70,67,61,66,64,75,53,62,63,80,57,65,68,65,74,67,60,55,61,62,59,64,59,61,46,67,82,67,58,57,53,61,66,54,52,78,63,45,71,64,87,68,57,62,65,66,59,81,58,64,62,68,50,67,63,59,60,69,55,64,65,55,53,62,69,66,65,71,59,58,64,49,49,68,66,50,57,69,63,71,72,37,60,63,59,66,60,64,66,54,68,71,60,63,65,61,64,68,58,59,55,73,59,65,73,59,63,67,66,56,72,52,60,67,52,61,62,55,53,49,74,64,75,58,59,70,63,61,73,48,68,59,42,69,72,69,56,72,66,76,80,63,60,64,82,52,67,73,62,69,80,53,72,60,56,53,71,57,67,54,58,62,57,63,78,62,69,4.9060552495291787e-216,3.3508103141952492e-180,3.265908794259568e-193,6.210027418560667e-194,16.424045844538252,2.530550639647683e-13,0.0
42,65,66,72,47,71,66,66,64,56,52,66,51,61,65,76,52,53,65,66,51,80,77,73,70,53,74,65,71,61,63,69,65,79,66,81,75,64,53,64,73,75,67,77,69,57,79,64,69,50,61,81,52,66,74,70,60,67,56,65,71,65,59,56,61,67,68,53,77,67,61,69,56,69,79,52,60,72,59,64,69,72,72,62,67,71,75,70,68,69,68,55,53,55,63,68,66,67,66,63,66,52,68,52,54,66,67,52,63,66,69,68,61,61,44,74,67,56,70,92,64,58,73,59,63,65,56,70,59,59,67,62,59,65,63,72,70,64,61,55,60,53,64,69,53,58,74,73,69,61,58,50,74,74,58,47,59,66,64,58,58,64,59,66,61,59,66,57,57,90,59,63,56,66,66,68,60,57,54,80,61,68,59,64,51,61,58,68,68,80,66,59,70,67,62,59,67,68,73,62,1.0592483908008787e-186,3.8562581978415616e-162,1.2004378305451541e-206,1.277991056585918e-195,2.240216802311221,6.540684429733152e-17,0.0
43,60,63,65,62,74,57,49,67,66,61,57,55,59,50,59,70,58,70,48,63,56,83,54,56,61,74,52,66,76,66,69,50,61,84,58,57,65,61,58,64,84,64,71,59,67,67,54,67,71,69,63,57,57,58,64,53,66,63,60,59,84,83,55,81,74,70,60,65,52,86,55,72,71,47,59,62,65,58,54,53,54,76,62,56,51,65,60,54,59,61,75,67,64,73,69,59,67,57,56,57,65,62,65,83,58,68,52,54,63,81,63,62,64,64,56,61,58,45,64,50,79,53,61,66,55,79,62,60,65,60,61,56,62,76,54,66,62,67,66,78,64,83,54,64,54,61,57,57,65,65,51,59,67,60,67,55,63,60,64,85,69,74,57,62,70,75,69,61,63,59,84,73,60,65,52,66,59,67,70,65,77,65,56,60,66,74,65,72,70,60,71,62,51,59,59,81,67,65,69,9.924080924456156e-208,2.580061042642167e-171,1.5329580651138865e-192,2.5671579877195208e-197,16.457746530089473,1.460961050464275e-13,0.0
44,64,54,61,59,63,56,73,60,66,64,63,70,69,64,72,69,68,58,70,63,64,63,62,64,57,65,51,53,69,58,53,64,64,63,68,80,77,70,76,57,68,68,60,71,74,61,55,72,64,66,64,61,76,62,67,63,57,60,65,48,63,53,61,49,67,62,58,50,56,66,70,72,66,63,59,74,63,65,66,46,69,68,70,65,59,66,62,64,63,74,59,68,74,63,67,56,68,58,43,73,60,66,57,77,67,45,54,65,56,55,61,69,63,65,86,57,57,69,62,61,69,56,59,63,65,51,76,69,55,55,58,60,49,79,58,69,57,71,50,55,63,64,76,59,56,56,75,72,66,65,58,71,74,61,64,61,83,71,65,72,60,53,61,70,64,55,59,65,58,73,64,70,68,75,61,75,60,56,70,72,73,68,68,57,59,61,55,57,61,70,75,70,57,57,71,70,66,59,58,3.0589369093687935e-213,4.384998669318129e-175,1.1696451781350462e-175,2.3486514529828188e-184,12.051968602191192,7.207811541737996e-09,0.0
45,72,54,64,56,62,60,62,55,60,69,57,81,69,63,71,70,67,69,47,83,57,53,76,58,44,66,71,71,75,68,62,54,65,59,64,65,75,70,62,78,64,79,56,84,61,69,74,68,72,66,79,62,66,49,69,65,47,61,62,50,55,55,64,63,68,57,62,63,70,64,84,56,60,49,77,69,69,60,60,73,72,66,62,62,62,55,67,65,69,61,70,62,73,72,62,74,74,57,60,72,65,72,58,59,73,66,65,75,64,68,62,63,56,67,54,52,61,59,68,61,70,72,54,49,72,51,46,53,66,59,92,65,66,62,55,71,60,51,59,68,68,61,52,61,56,61,68,58,62,57,73,54,61,61,61,55,43,82,65,78,60,56,66,55,71,59,57,50,54,50,63,64,48,60,62,59,43,64,59,59,72,72,70,74,66,64,75,64,73,62,49,52,64,61,78,57,73,64,61,5.1373964405795344e-197,4.059055294556907e-193,3.3320601051948877e-190,1.9644849344294125e-201,13.570018108117157,5.230390670674708e-13,0.0
46,65,79,68,59,58,64,59,63,53,53,46,54,71,68,55,54,65,70,65,48,72,68,66,73,56,65,61,70,56,46,65,67,60,66,71,70,70,58,60,66,63,50,68,69,65,61,68,69,62,67,58,66,58,53,63,73,72,43,57,58,53,81,62,64,57,65,69,63,59,80,68,66,62,74,77,65,58,64,74,65,50,79,73,76,63,74,56,71,56,66,61,79,67,53,62,68,69,60,80,49,67,58,69,64,58,66,64,52,51,69,67,64,68,67,65,57,65,58,69,66,71,60,51,65,68,47,67,63,67,66,71,65,71,75,62,61,56,63,74,75,62,56,60,67,55,60,73,56,81,61,49,59,55,80,70,49,60,64,59,62,61,85,74,60,63,63,62,62,56,73,67,66,54,67,59,62,64,69,65,66,57,68,51,81,52,56,68,78,52,57,65,50,50,68,57,57,62,62,43,1.0016024389172485e-194,1.2054766573580399e-160,3.0342216706790477e-186,4.221910064862767e-221,12.645608893644056,8.972811999545123e-13,0.0
47,78,65,60,69,66,51,63,71,58,52,59,64,56,85,77,77,63,67,63,50,55,62,54,81,65,59,62,75,72,57,70,60,67,60,55,71,61,64,57,55,50,58,75,56,52,69,75,58,76,59,65,63,70,74,67,64,54,62,78,65,47,52,76,63,65,61,57,64,69,48,70,69,68,53,65,60,66,62,75,67,54,58,56,65,59,71,55,63,74,57,67,43,60,74,70,63,60,71,53,59,60,51,56,56,55,58,64,72,67,54,59,57,74,60,56,71,56,76,58,54,55,61,70,55,50,68,63,58,66,72,59,59,77,60,61,59,51,74,81,65,66,62,72,54,70,53,73,66,63,56,56,65,48,65,70,55,74,55,67,67,81,53,67,69,51,83,68,70,64,59,63,66,72,72,49,67,67,62,68,70,53,67,77,84,63,72,73,67,64,76,65,61,64,66,50,62,65,70,80,3.0423249108428994e-189,1.3300614521332345e-167,1.549099236200187e-190,8.203789903145155e-181,11.358125707120603,1.2816039615437492e-15,0.0
48,69,62,58,67,66,50,49,55,50,56,66,68,58,71,59,62,61,60,55,52,63,52,74,55,60,69,65,55,71,59,74,61,68,60,57,70,57,74,69,60,65,77,76,47,68,55,55,66,84,57,60,62,58,48,64,77,70,61,56,64,73,73,63,56,66,75,75,66,64,64,60,60,58,61,51,54,66,62,76,75,69,62,73,68,77,70,53,82,66,58,62,65,61,68,55,78,74,53,61,66,66,65,54,58,60,72,65,71,66,64,67,75,64,75,69,62,74,63,68,55,54,73,59,67,63,74,74,70,73,61,78,69,74,62,66,60,63,69,64,59,67,62,79,70,60,68,71,53,67,55,66,51,50,81,67,86,61,72,61,59,56,49,61,73,58,69,60,68,56,66,66,67,66,64,75,53,70,61,65,52,69,70,71,53,59,66,60,60,59,59,69,59,59,66,58,61,54,63,58,2.219441187128126e-181,9.663074925608468e-189,6.446386140354616e-186,9.714186528728282e-183,1.5936380362177718,1.5329241434058396e-12,0.0
49,66,64,55,55,68,65,49,66,67,62,60,77,66,72,54,60,64,44,73,60,56,65,73,63,67,70,64,61,52,76,63,71,60,52,60,66,59,75,66,57,67,72,68,64,57,54,68,58,59,63,60,52,78,45,63,85,60,63,64,60,64,53,62,78,65,56,73,69,75,81,70,55,57,57,75,73,69,65,54,81,54,58,67,59,48,54,65,62,53,53,70,59,58,67,72,57,63,63,65,63,59,64,56,67,53,61,56,58,61,71,61,72,61,71,59,69,54,63,67,71,54,75,64,68,66,81,62,58,61,65,55,49,54,63,70,52,82,56,53,60,71,63,44,72,66,72,70,69,68,64,66,61,64,69,70,68,65,64,63,46,75,63,79,64,74,64,48,50,75,61,50,63,59,70,44,63,60,87,63,68,88,57,70,61,71,51,57,59,45,52,79,75,64,65,61,52,68,74,52,7.466702998238236e-212,3.419977246809827e-173,3.0342216706790477e-186,1.797187362053596e-202,2.1372299461595747,4.133842680073341e-11,0.0
50,69,54,52,65,72,75,55,69,62,65,60,67,70,77,66,73,62,72,60,52,79,68,70,59,67,68,53,60,64,69,64,57,68,64,57,61,77,70,80,52,63,54,52,66,67,79,75,66,61,60,68,62,77,70,55,59,71,62,62,46,74,58,65,57,61,57,61,63,68,62,51,59,65,73,71,47,60,67,61,76,53,47,72,68,50,70,60,68,65,68,66,76,62,61,64,60,59,63,63,68,64,75,63,73,63,65,65,63,71,59,72,66,59,51,68,64,59,63,78,69,49,58,67,67,51,61,62,70,64,70,63,56,69,60,73,67,54,63,55,51,85,62,75,55,65,68,70,58,55,73,67,71,57,63,57,60,54,53,73,59,56,66,58,72,54,56,63,65,61,70,64,57,59,71,63,60,69,45,57,53,75,63,75,50,72,62,65,61,64,70,54,53,71,52,59,56,67,61,57,1.9303786552152177e-209,4.384998669318129e-175,1.413925270010987e-195,1.1715784301948932e-197,1.7611442779258741,7.498891138855617e-13,0.0
51,82,50,59,56,86,49,55,61,71,70,63,66,62,53,59,76,67,65,74,57,70,68,59,68,75,64,72,60,61,55,66,66,64,58,73,62,69,59,53,52,61,53,75,55,48,43,54,50,79,69,70,65,49,53,49,53,59,42,71,75,73,68,68,60,70,72,78,68,54,52,55,62,70,56,67,65,68,56,63,63,62,75,65,69,55,67,54,48,63,62,72,64,69,65,59,58,43,48,62,90,52,77,54,71,63,68,66,68,53,77,67,74,61,55,55,75,74,64,73,62,66,76,60,54,61,53,77,64,62,54,62,54,61,67,63,80,74,59,67,58,52,46,64,70,58,50,56,58,59,73,71,60,65,66,72,65,72,69,49,69,72,58,69,59,74,66,61,71,56,58,56,58,68,57,70,62,64,60,57,73,53,70,58,47,61,58,71,64,61,63,77,63,63,58,52,62,71,59,58,2.2817250079855866e-206,3.988629473463159e-183,1.3524907156719383e-196,2.884362454473651e-189,7.831246436352526,1.8821555145165622e-14,0.0
52,80,57,57,52,69,76,48,50,66,53,71,67,78,68,58,49,56,57,60,69,87,56,60,40,47,56,59,53,65,59,49,70,75,75,70,58,62,67,70,53,75,77,67,67,84,69,72,70,69,57,67,64,64,60,75,75,71,67,68,64,68,52,63,70,64,56,59,52,54,45,79,59,68,62,63,69,57,66,69,61,50,65,61,63,72,56,62,53,66,61,60,77,59,62,71,69,73,62,73,72,72,61,71,60,74,54,64,80,64,76,56,57,74,63,59,78,73,75,68,59,68,56,48,52,63,85,64,60,57,51,58,54,72,62,68,61,67,60,71,46,58,68,56,61,58,53,61,69,64,59,54,66,79,54,72,60,60,75,73,67,61,75,49,53,66,55,65,65,62,67,76,68,59,67,64,57,60,65,60,50,55,81,46,52,66,59,61,67,64,60,55,70,54,53,55,60,67,63,66,1.1297012090257694e-197,7.812541621149943e-169,1.0439601938009871e-207,2.270888070703949e-207,15.456971812334078,2.4849600978904716e-11,0.0
53,75,63,71,55,75,71,59,65,59,52,53,75,65,60,57,56,62,66,51,60,54,54,69,41,67,61,75,55,71,67,69,73,54,59,62,56,50,60,48,76,53,65,52,64,69,72,64,60,63,73,47,67,64,65,54,44,60,67,50,63,69,62,45,70,64,50,67,79,65,67,51,51,61,67,70,62,59,64,51,70,74,78,60,65,67,57,73,56,51,69,60,49,71,59,78,69,59,70,58,66,80,55,66,67,58,71,58,49,61,68,60,62,55,61,45,49,70,54,61,67,73,60,61,53,64,49,59,72,59,59,60,73,57,58,69,64,70,68,75,59,73,65,49,67,57,64,64,62,72,71,71,69,65,69,67,61,67,53,71,54,61,67,60,62,73,72,63,69,68,82,58,61,53,55,56,75,64,65,53,58,78,62,57,65,49,66,56,68,70,69,75,75,67,88,69,59,51,71,56,5.00897650372936e-242,4.4604248294746856e-187,1.5123754558568503e-188,7.671329268836076e-222,6.104244301555016,1.993926502085805e-18,0.0
54,66,71,60,61,61,61,64,49,73,60,60,62,55,65,78,69,54,52,54,81,64,61,56,70,58,60,50,57,67,61,71,75,71,64,65,44,73,67,55,58,70,57,78,83,57,77,55,56,64,51,75,48,70,62,71,59,55,53,60,60,71,65,65,50,62,69,71,81,59,60,74,65,61,58,65,71,58,57,54,70,78,47,64,45,51,64,70,58,54,68,62,41,52,61,50,56,70,70,63,63,59,61,59,60,62,65,56,69,59,62,66,77,55,60,74,58,60,61,61,62,60,73,47,69,83,60,61,66,76,58,78,70,64,67,65,64,80,75,62,66,55,60,57,50,56,55,69,61,53,56,62,78,77,52,63,49,64,58,62,68,65,65,66,70,75,57,49,66,59,61,59,59,71,77,67,65,52,65,50,78,63,59,55,71,67,71,69,59,39,49,67,66,56,52,46,59,56,69,63,3.269753157316149e-228,1.0927585687021297e-221,1.413925270010987e-195,6.006020561426685e-188,15.173206339043348,4.3651902458966736e-13,0.0
55,56,67,69,54,53,57,72,58,44,53,60,79,69,71,70,69,70,51,60,60,72,57,62,73,72,60,66,63,70,68,48,70,55,64,55,61,59,61,66,60,63,66,61,68,50,70,64,57,49,61,64,63,70,71,62,69,56,59,56,71,67,61,64,68,77,67,74,69,70,53,66,65,53,67,59,53,61,58,52,65,62,74,57,61,78,63,70,77,75,70,62,86,68,62,58,59,63,68,64,62,62,64,64,70,54,61,61,49,56,44,51,63,58,63,57,68,68,64,58,66,63,77,63,58,75,71,73,52,59,83,59,93,54,57,68,63,57,57,57,66,53,58,60,66,71,54,41,85,63,74,75,67,69,53,60,76,71,52,46,57,66,60,70,61,66,54,68,73,57,76,51,43,58,70,66,59,66,55,51,70,64,69,73,45,65,69,66,67,73,51,45,62,60,74,49,67,70,59,56,2.758006319728847e-214,1.1328039455504473e-176,2.107534848560373e-201,7.043823236913329e-215,2.1372299461595747,2.095230099654081e-11,0.0
56,64,74,64,65,68,64,63,71,53,74,71,61,63,59,69,50,61,70,68,71,80,64,69,57,76,73,67,56,68,65,67,63,75,64,68,67,59,54,64,63,60,62,70,54,69,71,53,75,62,59,74,71,68,72,70,56,67,62,72,66,62,62,70,59,64,47,55,57,59,57,61,63,49,48,56,70,67,64,65,67,45,58,69,56,74,82,58,63,55,69,67,59,64,63,67,79,62,52,66,65,65,76,53,61,68,56,86,68,70,64,80,93,69,59,73,67,54,81,73,62,66,50,54,62,62,53,62,67,66,60,73,56,72,59,81,64,59,49,64,57,75,69,84,57,73,61,51,63,58,60,69,65,71,79,66,70,79,70,57,57,73,76,65,68,66,78,67,60,61,60,60,62,85,64,53,61,65,59,60,57,55,72,78,58,56,59,62,64,73,63,71,70,61,63,67,60,67,70,56,1.0940749154385138e-196,3.8562581978415616e-162,4.5664803113143445e-170,6.347596110059673e-191,3.7800110525117745,4.809999383049393e-14,0.0
57,56,57,74,61,53,59,74,49,48,62,62,68,56,72,67,58,73,52,63,70,64,56,61,66,62,68,66,67,59,65,57,53,64,67,65,47,66,57,48,68,60,59,64,69,72,54,76,54,80,63,83,62,84,71,65,54,67,59,60,66,66,72,49,55,72,75,70,54,56,70,70,58,57,69,54,59,71,75,60,61,67,62,56,73,66,54,57,65,85,69,68,77,65,61,59,61,69,56,73,53,65,64,75,68,55,67,62,66,55,53,51,59,59,65,69,76,79,74,75,60,60,61,79,61,71,47,68,60,52,67,60,67,65,50,56,68,68,59,62,67,53,57,72,78,66,67,81,58,61,56,47,60,72,58,69,63,75,72,69,53,61,50,65,62,59,56,71,49,68,80,84,76,64,72,57,78,50,71,66,78,60,69,43,71,68,56,63,73,51,66,54,54,57,66,66,62,62,56,65,4.521571335942028e-208,7.570336978495343e-196,7.68243141888378e-210,8.203789903145155e-181,2.457398102075501,2.6543939461681376e-16,0.0
58,60,59,55,59,74,54,76,47,60,58,71,67,56,64,65,45,45,52,60,64,62,64,78,50,45,63,61,67,59,67,64,57,68,64,66,55,62,64,69,59,72,57,68,66,56,69,54,68,55,63,62,55,58,57,59,59,58,77,56,70,61,61,61,56,55,61,71,71,67,63,69,59,68,55,63,65,63,67,62,62,74,75,89,76,56,46,62,76,66,59,62,60,61,56,68,72,57,57,51,69,77,60,55,56,61,59,63,70,65,49,60,61,77,68,63,60,65,59,67,71,58,51,64,56,71,67,74,66,69,57,65,68,68,59,63,79,64,77,54,56,65,60,59,77,61,70,63,64,50,72,57,65,65,63,66,58,76,55,61,68,53,49,60,63,55,60,75,72,61,49,74,70,65,72,69,56,77,64,80,66,58,62,59,71,53,49,62,79,61,61,69,70,61,53,62,67,64,68,60,4.521571335942028e-208,5.409347860825584e-200,8.605944500359226e-203,3.2726623538666586e-204,6.309424557890712,4.418485467642303e-12,0.0
59,68,66,67,60,64,57,70,61,69,70,59,64,75,53,68,59,68,55,62,61,70,58,67,54,58,55,56,58,75,69,65,82,58,60,69,85,59,58,62,47,66,52,55,61,67,59,68,63,60,65,61,61,64,67,56,74,72,71,65,53,68,49,58,51,56,50,75,65,70,58,80,65,65,61,63,48,57,53,82,76,58,70,63,79,62,80,70,68,53,58,54,66,60,64,91,66,58,64,64,62,66,67,66,75,55,69,64,58,66,61,75,46,73,63,62,67,67,70,68,67,50,57,56,55,68,67,67,68,76,69,67,54,55,59,60,66,74,64,58,64,79,79,63,63,62,59,63,60,73,68,51,72,59,68,60,57,68,62,42,53,61,58,54,60,57,70,61,71,66,66,71,65,63,74,50,79,66,50,61,71,64,49,51,52,87,70,54,62,62,72,62,66,60,67,64,63,66,62,59,2.6097246078118547e-229,1.8630928371857938e-159,2.751229824162612e-184,2.0394497823722303e-182,2.3469196718663268,1.1294667881121944e-10,0.0
60,58,69,60,59,63,55,48,61,53,65,64,69,56,65,74,71,50,58,61,54,56,59,63,59,70,52,67,62,68,56,74,69,58,75,63,58,68,70,63,69,62,60,79,56,72,63,65,78,62,69,73,60,67,63,69,54,57,64,50,59,59,61,68,78,74,57,68,56,54,58,74,59,69,82,59,58,75,59,65,70,66,57,57,45,50,56,62,72,62,70,64,68,58,60,71,57,62,54,60,53,68,62,42,63,57,67,63,72,77,59,60,52,76,81,58,53,55,59,79,82,61,62,58,81,56,67,57,65,54,66,70,76,58,62,67,68,62,50,59,74,59,66,74,66,70,71,52,53,41,53,61,55,57,64,58,73,67,59,67,70,44,60,60,59,65,59,57,64,86,70,61,68,68,59,59,61,56,72,55,65,59,61,68,53,51,54,47,53,72,61,64,67,62,61,58,73,69,62,48,2.9501021464000348e-232,7.426963603444308e-165,1.2052821024842557e-198,3.2726623538666586e-204,1.7611442779258741,3.301702062542623e-07,0.0
61,62,57,69,54,53,75,48,58,58,52,68,72,70,61,60,74,50,62,68,63,64,85,73,67,62,55,68,72,66,63,59,50,68,59,57,53,58,77,49,68,65,66,65,68,60,67,53,74,66,60,68,55,63,55,62,70,57,75,74,45,63,77,70,63,53,68,61,73,60,72,61,57,81,68,79,58,55,80,47,48,57,79,65,72,45,73,59,69,50,67,58,55,60,58,84,64,46,61,65,70,67,50,48,69,65,66,61,68,60,52,59,59,64,82,74,59,53,68,61,60,52,53,72,59,60,63,64,55,68,88,61,50,60,74,58,71,55,56,51,67,59,64,54,62,57,66,75,59,69,66,62,70,65,74,74,68,50,47,68,77,73,62,58,55,65,64,58,67,60,48,81,76,60,77,52,62,62,58,55,64,72,75,62,57,70,54,62,53,70,56,73,60,71,61,75,71,69,54,58,8.879535692684217e-193,2.0096727834115485e-185,2.2960639013666554e-200,5.341546343386157e-198,13.770759834753314,1.514971792749805e-09,0.0
62,70,66,74,61,61,62,61,65,67,69,65,63,87,53,75,60,53,56,67,68,57,71,56,61,54,78,68,59,62,88,52,65,63,61,61,71,72,64,59,76,72,60,62,74,66,56,58,67,70,60,77,56,62,65,63,61,52,71,67,50,64,64,64,58,60,66,56,65,50,60,55,71,58,54,69,68,61,68,54,66,62,52,73,63,61,71,54,47,65,72,64,61,70,81,72,67,70,73,61,73,68,71,72,62,65,60,66,67,68,54,68,56,63,64,67,71,61,59,54,54,61,68,64,60,52,67,61,56,49,50,58,71,68,66,55,66,61,57,64,69,81,44,54,65,59,65,59,56,61,63,72,62,55,78,56,62,54,51,62,63,68,68,75,71,70,66,59,56,67,64,73,45,60,68,68,67,62,61,72,72,73,55,55,65,56,65,79,77,66,86,80,48,67,65,62,68,68,54,67,6.808860904068269e-213,1.8804639735674396e-174,7.580481582764523e-173,8.86051869576182e-202,16.496319349990692,1.8821555145165622e-14,0.0
63,51,75,59,59,67,66,49,66,60,72,76,63,60,56,67,60,56,54,71,53,62,51,70,63,66,65,69,55,78,57,65,81,67,66,61,54,66,58,60,54,59,44,71,60,58,55,60,68,60,65,50,77,63,67,70,76,63,75,57,88,59,69,56,66,57,70,52,57,66,67,61,60,66,67,61,77,54,68,60,66,66,70,75,62,62,60,69,58,71,64,68,56,66,54,77,68,59,58,72,54,66,60,71,67,56,69,64,70,62,58,70,50,53,59,75,71,75,56,67,71,69,56,57,49,57,53,77,52,66,61,62,68,74,68,66,56,63,48,43,66,66,61,75,62,63,77,58,54,68,75,74,64,66,63,60,58,60,71,80,58,57,71,74,62,60,68,79,63,59,58,61,61,73,65,58,59,54,60,72,66,54,59,79,68,76,59,57,54,59,55,66,53,68,74,55,61,53,73,60,1.2279488269758695e-246,3.1082229664142725e-179,1.2052821024842557e-198,1.27995536587367e-187,0.4623406716945905,4.09742867192592e-15,0.0
64,59,66,47,46,70,55,59,64,52,63,64,74,63,66,66,59,69,66,57,67,63,58,69,56,62,56,63,71,59,70,56,74,75,51,54,56,62,63,56,60,69,65,66,65,63,56,55,52,58,68,75,59,62,57,70,62,57,73,77,67,71,58,69,81,53,71,65,65,63,57,71,59,56,70,78,76,64,47,67,69,66,71,57,71,57,63,57,62,74,65,53,45,73,70,62,44,60,51,56,77,77,59,61,68,73,59,80,69,58,58,60,68,56,53,68,61,66,58,79,58,57,72,64,62,57,66,64,58,57,74,70,50,75,71,77,52,71,62,53,63,74,62,68,59,60,71,67,49,70,61,63,64,65,79,65,62,41,78,66,56,69,78,66,81,69,60,73,68,63,68,62,64,70,59,66,59,64,67,73,68,72,69,75,55,56,71,72,59,72,82,71,69,79,71,61,69,82,57,56,9.373981569841059e-186,3.1082229664142725e-179,7.228880957736781e-178,2.5671579877195208e-197,0.5227880890924248,7.124787816875241e-16,0.0
65,59,65,70,58,67,53,64,60,51,73,56,62,61,62,60,62,65,72,65,70,70,66,61,55,50,66,61,52,48,62,83,61,64,67,49,57,74,65,57,60,71,51,56,72,54,62,78,65,63,70,74,61,73,70,50,59,73,70,73,56,59,58,75,57,69,60,58,62,49,61,59,54,62,78,56,61,61,63,70,75,67,72,56,73,53,63,76,60,63,54,66,75,55,51,63,68,71,73,60,67,68,62,68,69,60,53,86,49,53,69,62,59,59,68,74,65,62,61,67,79,56,56,72,63,69,76,78,60,59,56,59,61,60,49,49,76,84,60,64,58,63,69,63,58,59,60,73,44,74,65,51,57,57,60,58,61,73,64,69,58,51,53,63,66,72,82,63,62,73,73,76,49,74,71,78,67,62,58,72,60,56,69,59,49,59,67,53,62,61,67,70,86,68,58,61,61,44,53,70,1.9303786552152177e-209,2.1145245500716697e-207,1.3010716953297297e-184,1.2289855547754846e-168,7.162158180095469,7.282416919503674e-15,0.0
