,truth_1,truth_2,truth_3,truth_4,truth_5,truth_6,truth_7,truth_8,truth_9,truth_10,truth_11,truth_12,truth_13,truth_14,truth_15,truth_16,truth_17,truth_18,truth_19,truth_20,truth_21,truth_22,truth_23,truth_24,truth_25,truth_26,truth_27,truth_28,truth_29,truth_30,truth_31,truth_32,truth_33,truth_34,truth_35,truth_36,truth_37,truth_38,truth_39,truth_40,truth_41,truth_42,truth_43,truth_44,truth_45,truth_46,truth_47,truth_48,truth_49,truth_50,truth_51,truth_52,truth_53,truth_54,truth_55,truth_56,truth_57,truth_58,truth_59,truth_60,truth_61,truth_62,truth_63,truth_64,truth_65,truth_66,truth_67,truth_68,truth_69,truth_70,truth_71,truth_72,truth_73,truth_74,truth_75,truth_76,truth_77,truth_78,truth_79,truth_80,truth_81,truth_82,truth_83,truth_84,truth_85,truth_86,truth_87,truth_88,truth_89,truth_90,truth_91,truth_92,truth_93,truth_94,truth_95,truth_96,truth_97,truth_98,truth_99,truth_100,truth_101,truth_102,truth_103,truth_104,truth_105,truth_106,truth_107,truth_108,truth_109,truth_110,truth_111,truth_112,truth_113,truth_114,truth_115,truth_116,truth_117,truth_118,truth_119,truth_120,truth_121,truth_122,truth_123,truth_124,truth_125,truth_126,truth_127,truth_128,truth_129,truth_130,truth_131,truth_132,truth_133,truth_134,truth_135,truth_136,truth_137,truth_138,truth_139,truth_140,truth_141,truth_142,truth_143,truth_144,truth_145,truth_146,truth_147,truth_148,truth_149,truth_150,truth_151,truth_152,truth_153,truth_154,truth_155,truth_156,truth_157,truth_158,truth_159,truth_160,truth_161,truth_162,truth_163,truth_164,truth_165,truth_166,truth_167,truth_168,truth_169,truth_170,truth_171,truth_172,truth_173,truth_174,truth_175,truth_176,truth_177,truth_178,truth_179,truth_180,truth_181,truth_182,truth_183,truth_184,truth_185,truth_186,truth_187,truth_188,truth_189,truth_190,truth_191,truth_192,truth_193,truth_194,truth_195,truth_196,truth_197,truth_198,truth_199,bias_0,bias_1,bias_2,bias_3,bias_4,bias_5,bias_6
29,62,70,62,58,82,66,64,53,75,59,68,53,65,56,74,48,56,75,64,72,63,65,53,65,55,69,79,59,65,66,61,46,64,58,61,68,55,79,66,48,79,57,68,71,66,84,52,49,60,64,62,47,55,53,71,68,72,83,78,71,77,64,65,61,62,75,68,69,59,69,57,62,52,63,73,65,60,63,66,55,60,59,74,61,63,66,69,59,72,66,60,50,65,55,60,59,64,70,51,76,58,46,62,66,65,57,56,76,52,74,66,63,72,60,69,60,59,62,60,49,63,81,50,63,66,52,54,60,67,61,68,58,77,74,52,61,67,59,63,77,59,51,68,55,70,52,55,63,68,74,69,80,64,57,51,59,58,51,62,52,58,70,61,66,59,63,56,61,72,65,59,64,60,61,58,66,64,71,61,81,74,61,61,69,70,65,62,68,67,64,73,68,73,69,60,58,62,56,55,1.2374946148003742e-220,9.419875866394374e-191,7.079077157956491e-193,1.8768021346169879e-181,15.930265391719237,1.1953146097765788e-16,0.0
30,76,61,72,50,69,58,58,52,49,73,59,56,67,56,60,70,63,54,72,67,62,68,59,55,58,54,56,60,43,61,71,71,68,54,61,61,56,57,47,48,51,65,70,67,66,59,69,72,70,60,62,72,56,67,66,68,50,62,56,59,63,64,63,63,73,59,69,69,63,61,51,56,71,59,70,63,63,62,64,59,71,69,56,63,71,65,62,63,46,62,62,64,63,60,70,65,61,55,59,56,58,71,79,57,57,80,58,77,54,77,61,65,66,67,83,52,53,67,79,77,60,70,82,62,67,69,57,68,69,66,74,56,70,57,56,55,63,65,77,51,49,58,57,71,68,56,58,62,50,56,71,60,68,67,66,58,63,71,58,50,68,79,62,60,64,67,54,63,59,63,74,73,61,65,70,69,78,75,68,67,67,63,73,71,73,61,55,70,70,58,66,65,73,71,62,57,68,59,77,1.9303786552152177e-209,4.155227609484233e-184,2.704053668913163e-206,1.2508274197966355e-172,3.3406439489583235,1.2891066618776095e-14,0.0
31,63,66,51,52,61,62,78,65,69,53,69,70,66,69,60,64,68,58,81,60,66,68,70,53,68,69,61,53,65,57,64,67,55,53,64,68,56,55,53,52,56,70,65,59,54,64,69,69,81,72,60,61,61,79,69,62,50,72,60,55,63,62,55,63,68,86,69,66,58,62,67,59,64,66,62,68,70,61,59,70,64,80,62,78,47,65,59,58,70,70,68,69,49,69,80,62,78,70,62,83,51,55,65,77,73,49,55,75,63,59,75,53,56,70,65,49,52,59,58,57,64,78,64,65,63,63,62,64,58,69,67,64,71,61,65,60,69,49,61,70,56,69,63,65,71,63,74,71,59,64,75,67,64,66,74,71,73,64,44,54,74,70,75,70,62,44,69,66,63,55,58,69,73,63,55,62,61,70,63,69,48,62,63,59,50,58,59,65,56,75,77,68,61,65,69,74,61,71,52,4.527897611392529e-181,9.401858292870289e-186,1.0634172267506421e-181,9.628164265716855e-201,5.902511959593024,1.755344759005075e-13,0.0
32,60,64,70,43,55,71,46,54,60,58,81,75,64,70,63,76,60,66,70,64,55,65,66,63,70,51,77,80,78,63,62,58,68,64,56,50,65,74,86,59,58,49,64,63,50,51,63,66,56,78,50,93,58,57,54,67,60,63,62,70,64,61,54,68,59,53,47,77,53,63,58,63,82,56,76,57,72,67,58,66,68,71,64,59,46,59,55,58,59,59,75,62,66,74,52,56,64,53,56,79,63,65,57,65,74,72,73,75,46,67,79,58,68,64,57,56,57,56,49,67,69,73,62,66,62,60,66,66,65,59,62,74,69,65,60,72,63,73,69,72,77,64,67,65,68,63,74,59,58,57,68,62,65,50,61,73,70,65,61,64,62,62,62,66,58,72,64,64,67,78,75,72,48,54,70,66,65,59,65,57,51,60,62,58,69,59,59,85,55,54,54,57,52,60,78,66,62,63,60,4.6078548138690624e-222,8.028871699517227e-182,6.147064797032215e-185,6.128823734818377e-173,16.11646967607965,4.418485467642303e-12,0.0
33,64,69,55,56,64,73,56,64,73,65,62,74,59,59,55,71,62,66,61,69,64,59,68,73,67,72,66,74,59,67,62,57,59,56,56,61,58,67,67,61,58,82,71,58,53,71,56,61,57,50,64,53,53,65,62,63,69,66,67,55,45,57,55,67,65,58,57,65,80,60,71,65,64,69,52,67,55,73,62,76,60,55,64,51,49,71,57,62,61,57,65,67,65,77,71,58,73,75,74,62,50,59,77,58,83,63,60,61,64,61,52,55,66,60,54,57,80,65,66,65,56,53,67,71,59,56,62,68,61,70,62,68,62,55,61,71,65,64,66,59,61,70,65,76,71,62,67,68,66,62,50,78,49,59,52,72,64,51,46,50,58,59,71,54,60,67,64,60,50,49,61,69,66,68,70,77,63,47,72,64,74,63,63,57,74,69,66,58,45,68,66,58,76,71,50,65,70,66,86,2.3925542346739315e-221,1.87857983864747e-183,2.4118008907076585e-182,6.546411471302205e-205,4.4235403780709674,8.400013435883389e-14,0.0
34,63,58,55,65,67,51,67,56,70,70,88,67,60,46,57,44,57,63,46,59,70,76,66,56,67,51,61,70,50,66,50,68,75,57,55,77,62,61,60,73,72,66,53,69,67,60,80,66,59,54,66,54,67,64,63,64,71,50,73,64,54,69,58,58,66,55,58,57,66,55,73,66,49,68,72,66,70,61,83,67,60,55,68,61,61,61,57,64,70,48,71,74,64,69,66,72,64,64,70,60,62,62,53,54,70,70,64,52,63,55,74,72,64,61,60,59,58,63,68,64,64,61,65,62,53,61,73,59,51,77,60,47,71,60,78,64,71,62,73,78,82,51,59,62,56,62,59,58,59,61,68,72,58,65,68,70,57,58,75,65,63,62,75,60,66,71,61,56,63,71,56,58,60,65,62,66,54,46,49,66,62,66,65,77,62,61,49,65,56,53,51,63,60,67,48,53,60,57,58,9.359991139550602e-209,8.034307468811373e-174,3.338598847407295e-191,2.344805887837647e-241,1.9421501590659658,5.2625007258395825e-12,0.0
35,58,61,73,63,52,70,56,57,68,63,61,56,60,55,58,59,54,68,72,65,64,66,59,61,54,55,55,58,58,45,65,52,65,70,57,64,65,55,57,60,63,70,67,58,71,78,83,62,67,75,67,58,71,79,57,50,65,59,53,68,54,75,65,71,67,65,63,55,65,73,69,48,65,54,56,71,72,60,62,51,77,66,58,63,69,58,71,84,63,70,73,61,67,61,47,64,56,74,59,68,71,59,69,68,74,54,65,45,66,72,54,71,72,59,74,66,70,69,59,65,59,48,78,76,71,63,76,64,70,58,81,63,71,63,81,60,57,59,57,58,52,53,68,70,64,65,58,58,63,69,61,81,67,64,57,63,48,57,79,53,48,69,77,61,60,57,61,60,55,55,73,56,65,67,65,69,54,65,63,56,68,69,64,69,64,54,56,63,67,54,80,52,67,69,59,52,60,44,65,9.359991139550602e-209,9.401858292870289e-186,1.2004378305451541e-206,8.729749080859646e-209,6.104244301555016,2.3735855951259622e-17,0.0
36,54,56,48,57,48,57,68,83,55,61,63,67,62,65,70,66,70,62,64,78,60,69,71,61,69,66,61,72,57,51,66,57,60,65,63,68,58,74,72,56,73,65,60,62,55,48,69,66,68,66,52,75,76,52,61,60,52,60,55,58,63,63,65,64,63,59,53,64,54,63,59,72,65,70,65,64,69,76,69,84,59,61,63,62,71,48,83,65,60,56,63,73,72,70,47,73,67,71,57,54,76,68,52,53,61,61,60,53,57,70,83,64,59,74,70,62,60,73,47,65,63,64,56,66,61,54,73,50,57,69,66,57,67,51,58,73,57,61,66,62,71,66,61,65,55,64,70,67,66,71,56,60,66,49,73,74,67,56,52,65,63,72,64,61,60,71,60,66,56,66,75,61,60,66,56,62,59,63,82,56,66,63,59,57,51,58,65,59,53,47,65,60,59,64,55,73,61,68,56,1.3729549653734367e-213,1.018728186419251e-175,6.084902357935068e-206,3.572798003970274e-180,15.824264170360385,6.180419043637871e-09,0.0
37,67,71,72,56,70,58,57,54,55,55,70,66,65,55,66,57,61,69,68,78,54,67,66,64,72,81,63,49,60,62,64,75,63,79,60,66,63,53,60,69,72,57,70,63,69,52,62,64,65,54,53,69,74,50,71,63,84,73,63,56,57,56,72,68,60,55,65,64,70,63,58,63,50,67,53,62,68,57,62,62,58,61,47,62,60,62,62,66,68,73,74,58,74,74,61,67,62,73,72,56,55,74,65,64,70,73,64,63,59,58,65,67,48,69,74,59,64,55,66,69,69,60,61,76,58,61,71,54,74,60,71,56,68,72,43,63,67,54,62,66,70,66,66,65,67,50,57,49,62,56,78,76,57,81,69,66,66,60,62,69,54,64,63,63,63,66,68,63,74,66,61,69,64,70,64,64,67,63,64,49,69,73,65,64,63,65,50,43,70,51,47,64,65,61,63,56,62,54,70,1.1251021990464236e-204,8.034307468811373e-174,1.0439601938009871e-207,1.228987567742235e-196,0.9903025348873666,5.230390670674708e-13,0.0
38,68,55,68,76,73,52,70,59,56,76,64,64,77,69,68,70,63,54,70,64,70,61,64,72,57,65,65,68,67,64,68,50,56,72,62,63,59,68,60,59,69,61,70,53,70,59,75,68,68,62,58,57,66,65,52,64,61,67,70,57,48,59,62,49,55,59,55,57,60,60,54,65,74,49,55,63,73,65,72,69,60,70,60,58,72,53,64,56,68,68,49,60,70,63,64,60,69,84,63,74,66,56,73,61,69,71,74,57,57,47,61,60,63,71,64,53,54,55,60,67,65,64,67,63,64,62,47,64,66,66,69,58,67,60,59,61,55,61,69,49,61,71,61,55,73,67,65,47,53,61,67,66,61,65,65,61,83,62,64,56,52,60,60,44,72,66,52,64,72,66,50,64,52,65,65,65,50,65,53,54,52,58,68,63,63,64,75,61,60,54,61,60,59,59,48,59,61,59,63,8.754228284383666e-210,4.059055294556907e-193,2.107534848560373e-201,5.264410107380378e-185,11.953719356745449,2.095230099654081e-11,0.0
